facility,city,company,baseline_pswi,baseline_rank,beta_half_pswi,beta_half_rank,beta_base_pswi,beta_base_rank,beta_double_pswi,beta_double_rank
Council Bluffs,Council Bluffs,Google,1.008,29,0.504,29,1.008,29,2.016,29
The Dalles,The Dalles,Google,0.65,32,0.325,32,0.65,32,1.3,32
Dalles Mid-Columbia,The Dalles,Google,0.65,32,0.325,32,0.65,32,1.3,32
Mayes County,Pryor,Google,2.176,22,1.088,22,2.176,22,4.352,22
Douglas County,Douglasville,Google,3.78,12,1.89,12,3.78,12,7.56,12
Lenoir,Lenoir,Google,0.504,33,0.252,33,0.504,33,1.008,33
Montgomery County,Pryor,Google,1.152,27,0.5760000000000001,27,1.1520000000000001,27,2.3040000000000003,27
Berkeley County,Goose Creek,Google,2.7,19,1.3499999999999999,19,2.6999999999999997,19,5.3999999999999995,19
Henderson,Henderson,Google,8.64,5,4.32,5,8.64,5,17.28,5
Loudoun County,Ashburn,Google,3.24,15,1.62,15,3.24,15,6.48,15
Eemshaven,Eemshaven,Google,0.009,48,0.0045000000000000005,48,0.009000000000000001,48,0.018000000000000002,48
Hamina,Hamina,Google,0.0036,49,0.0018000000000000002,49,0.0036000000000000003,49,0.007200000000000001,49
Dublin,Dublin,Google,0.02,46,0.01,46,0.02,46,0.04,46
St. Ghislain,Saint-Ghislain,Google,0.32,37,0.16,37,0.32,37,0.64,37
Changhua County,Changhua,Google,8.16,6,4.08,6,8.16,6,16.32,6
Singapore,Jurong,Google,7.41,7,3.705,7,7.41,7,14.82,7
Quincy,Quincy,Microsoft,0.1225,41,0.061250000000000006,41,0.12250000000000001,41,0.24500000000000002,41
San Antonio,San Antonio,Microsoft,5.940000000000001,9,2.9700000000000006,9,5.940000000000001,9,11.880000000000003,9
Goodyear/Phoenix,Goodyear,Microsoft,13.44,2,6.72,2,13.44,2,26.88,2
Boydton,Boydton,Microsoft,0.49,34,0.245,34,0.49,34,0.98,34
Des Moines,West Des Moines,Microsoft,0.49,34,0.245,34,0.49,34,0.98,34
Dublin,Dublin,Microsoft,0.098,42,0.049,42,0.098,42,0.196,42
Amsterdam,Amsterdam,Microsoft,0.1225,41,0.061250000000000006,41,0.12250000000000001,41,0.24500000000000002,41
Singapore,Tuas,Microsoft,10.26,3,5.13,3,10.26,3,20.52,3
Prineville,Prineville,Meta,0.3575,35,0.17875000000000002,35,0.35750000000000004,35,0.7150000000000001,35
Fort Worth,Fort Worth,Meta,0.78,30,0.39,30,0.78,30,1.56,30
Lulea,Lulea,Meta,0.00936,47,0.00468,47,0.00936,47,0.01872,47
Clonee,Clonee,Meta,0.052,43,0.026000000000000002,43,0.052000000000000005,43,0.10400000000000001,43
Newton County,Newton County,Meta,0.6552,31,0.3276,31,0.6552,31,1.3104,31
Los Lunas,Los Lunas,Meta,2.704,18,1.352,18,2.704,18,5.408,18
Eagle Mountain,Eagle Mountain,Meta,2.2880000000000003,21,1.1440000000000001,21,2.2880000000000003,21,4.5760000000000005,21
Mesa,Mesa,Meta,2.912,17,1.456,17,2.912,17,5.824,17
Richland Parish,Richland Parish,Meta,0.312,38,0.15600000000000003,38,0.31200000000000006,38,0.6240000000000001,38
Boardman,Boardman,Amazon,0.045,44,0.0225,44,0.045,44,0.09,44
Loudoun County,Ashburn,Amazon,0.324,36,0.162,36,0.324,36,0.648,36
Loudoun (CMH),Hilliard,Amazon,0.144,39,0.072,39,0.144,39,0.288,39
Coffeen,Coffeen,Amazon,0.1296,40,0.0648,40,0.1296,40,0.2592,40
Dublin,Dublin,Amazon,0.036,45,0.018,45,0.036,45,0.072,45
Frankfurt,Frankfurt am Main,Amazon,0.144,39,0.072,39,0.144,39,0.288,39
Singapore,Singapore,Amazon,1.026,28,0.513,28,1.026,28,2.052,28
Ashburn (DC1-15),Ashburn,Equinix,1.926,24,0.9630000000000001,24,1.9260000000000002,24,3.8520000000000003,24
Silicon Valley (SV1-10),San Jose,Equinix,3.638,14,1.819,14,3.638,14,7.276,14
Los Angeles (LA1-5),El Segundo,Equinix,4.708000000000001,10,2.3540000000000005,10,4.708000000000001,10,9.416000000000002,10
Dallas (DA1-11),Dallas,Equinix,3.21,16,1.605,16,3.21,16,6.42,16
London (LD1-10),London,Equinix,1.20375,26,0.601875,26,1.20375,26,2.4075,26
Singapore (SG1-5),Singapore,Equinix,6.098999999999999,8,3.0494999999999997,8,6.098999999999999,8,12.197999999999999,8
Northern Virginia (IAD),Manassas,DigitalRealty,2.3760000000000003,20,1.1880000000000002,20,2.3760000000000003,20,4.752000000000001,20
Dallas (DAL),Garland,DigitalRealty,3.96,11,1.98,11,3.96,11,7.92,11
Phoenix (PHX),Chandler,DigitalRealty,14.784,1,7.3919999999999995,1,14.783999999999999,1,29.567999999999998,1
Salt Lake City (SLC),Salt Lake City,DigitalRealty,10.032,4,5.016,4,10.032,4,20.064,4
Atlanta-Suwanee,Suwanee,QTS,3.654,13,1.8269999999999997,13,3.6539999999999995,13,7.307999999999999,13
Richmond,Richmond,QTS,1.74,25,0.87,25,1.74,25,3.48,25
Memphis Colossus,Memphis,xAI,1.98,23,0.99,23,1.98,23,3.96,23
